,truth,"('num_occur', 'index', 0)","('num_occur', 'score', 0)","('num_occur', 'index', 1)","('num_occur', 'score', 1)","('num_occur', 'index', 2)","('num_occur', 'score', 2)","('num_occur', 'index', 3)","('num_occur', 'score', 3)","('num_occur', 'index', 4)","('num_occur', 'score', 4)","('percentage_of_terms', 'index', 0)","('percentage_of_terms', 'score', 0)","('percentage_of_terms', 'index', 1)","('percentage_of_terms', 'score', 1)","('percentage_of_terms', 'index', 2)","('percentage_of_terms', 'score', 2)","('percentage_of_terms', 'index', 3)","('percentage_of_terms', 'score', 3)","('percentage_of_terms', 'index', 4)","('percentage_of_terms', 'score', 4)","('td-idf', 'index', 0)","('td-idf', 'score', 0)","('td-idf', 'index', 1)","('td-idf', 'score', 1)","('td-idf', 'index', 2)","('td-idf', 'score', 2)","('td-idf', 'index', 3)","('td-idf', 'score', 3)","('td-idf', 'index', 4)","('td-idf', 'score', 4)","('word_order', 'index', 0)","('word_order', 'score', 0)","('word_order', 'index', 1)","('word_order', 'score', 1)","('word_order', 'index', 2)","('word_order', 'score', 2)","('word_order', 'index', 3)","('word_order', 'score', 3)","('word_order', 'index', 4)","('word_order', 'score', 4)"
1,25,5,304,7,103,29,77,13.0,74.0,28.0,69.0,0,1.0,2,1.0,9,1.0,10.0,1.0,11.0,1.0,25,0.0040802734903149515,10,0.0038475777523602566,18,0.0026774009534526245,22.0,0.002222106882687838,26.0,0.0017368581494166192,26,302,19.0,21.0,25.0,21.0,0.0,18.0,2.0,17.0
2,25,5,304,7,103,29,77,13.0,74.0,28.0,69.0,0,1.0,2,1.0,9,1.0,10.0,1.0,11.0,1.0,25,0.0040802734903149515,10,0.0038475777523602566,18,0.0026774009534526245,22.0,0.002222106882687838,26.0,0.0017368581494166192,26,302,19.0,21.0,25.0,21.0,0.0,18.0,2.0,17.0
0,26,14,2418,19,1029,21,458,0.0,385.0,5.0,304.0,2,1.0,26,1.0,9,0.75,10.0,0.75,28.0,0.75,28,0.004925125925500236,25,0.004853665218078224,10,0.0036171984762457077,9.0,0.0024898241658311104,26.0,0.0017793736652864044,26,11,25.0,4.0,2.0,1.0,7.0,1.0,10.0,1.0
1,26,14,2418,19,1029,21,458,0.0,385.0,5.0,304.0,2,1.0,26,1.0,9,0.75,10.0,0.75,28.0,0.75,28,0.004925125925500236,25,0.004853665218078224,10,0.0036171984762457077,9.0,0.0024898241658311104,26.0,0.0017793736652864044,26,11,25.0,4.0,2.0,1.0,7.0,1.0,10.0,1.0
2,26,14,2418,19,1029,21,458,0.0,385.0,5.0,304.0,2,1.0,26,1.0,9,0.75,10.0,0.75,28.0,0.75,28,0.004925125925500236,25,0.004853665218078224,10,0.0036171984762457077,9.0,0.0024898241658311104,26.0,0.0017793736652864044,26,11,25.0,4.0,2.0,1.0,7.0,1.0,10.0,1.0
0,27,5,154,7,78,2,38,10.0,29.0,27.0,22.0,1,1.0,2,1.0,4,1.0,5.0,1.0,8.0,1.0,27,0.046818421723372826,6,0.041772387517011185,7,0.037150288059757064,8.0,0.03706025843734834,5.0,0.036764754589483854,7,3,27.0,3.0,5.0,2.0,2.0,1.0,8.0,1.0
1,27,5,154,7,78,2,38,10.0,29.0,27.0,22.0,1,1.0,2,1.0,4,1.0,5.0,1.0,8.0,1.0,27,0.046818421723372826,6,0.041772387517011185,7,0.037150288059757064,8.0,0.03706025843734834,5.0,0.036764754589483854,7,3,27.0,3.0,5.0,2.0,2.0,1.0,8.0,1.0
2,27,5,154,7,78,2,38,10.0,29.0,27.0,22.0,1,1.0,2,1.0,4,1.0,5.0,1.0,8.0,1.0,27,0.046818421723372826,6,0.041772387517011185,7,0.037150288059757064,8.0,0.03706025843734834,5.0,0.036764754589483854,7,3,27.0,3.0,5.0,2.0,2.0,1.0,8.0,1.0
0,28,19,814,10,409,21,351,12.0,214.0,0.0,198.0,1,1.0,2,1.0,13,1.0,28.0,1.0,5.0,0.75,1,0.0035850502294391606,28,0.003279355608502295,3,0.0013970084396093894,13.0,0.001273288134994536,11.0,0.0006812657148736806,1,5,12.0,4.0,13.0,4.0,28.0,4.0,3.0,3.0
1,28,19,814,10,409,21,351,12.0,214.0,0.0,198.0,1,1.0,2,1.0,13,1.0,28.0,1.0,5.0,0.75,1,0.0035850502294391606,28,0.003279355608502295,3,0.0013970084396093894,13.0,0.001273288134994536,11.0,0.0006812657148736806,1,5,12.0,4.0,13.0,4.0,28.0,4.0,3.0,3.0
2,28,19,814,10,409,21,351,12.0,214.0,0.0,198.0,1,1.0,2,1.0,13,1.0,28.0,1.0,5.0,0.75,1,0.0035850502294391606,28,0.003279355608502295,3,0.0013970084396093894,13.0,0.001273288134994536,11.0,0.0006812657148736806,1,5,12.0,4.0,13.0,4.0,28.0,4.0,3.0,3.0
0,29,14,2418,26,1142,19,1029,2.0,446.0,10.0,436.0,21,1.0,29,1.0,0,0.5,1.0,0.5,2.0,0.5,29,0.010051927266053284,22,0.005918901334325791,21,0.0013701804498968048,15.0,-6.601463130056997e-06,6.0,-1.2191803777748856e-05,21,5,29.0,4.0,0.0,1.0,1.0,1.0,7.0,1.0
1,29,14,2418,26,1142,19,1029,2.0,446.0,10.0,436.0,21,1.0,29,1.0,0,0.5,1.0,0.5,2.0,0.5,29,0.010051927266053284,22,0.005918901334325791,21,0.0013701804498968048,15.0,-6.601463130056997e-06,6.0,-1.2191803777748856e-05,21,5,29.0,4.0,0.0,1.0,1.0,1.0,7.0,1.0
2,29,14,2418,26,1142,19,1029,2.0,446.0,10.0,436.0,21,1.0,29,1.0,0,0.5,1.0,0.5,2.0,0.5,29,0.010051927266053284,22,0.005918901334325791,21,0.0013701804498968048,15.0,-6.601463130056997e-06,6.0,-1.2191803777748856e-05,21,5,29.0,4.0,0.0,1.0,1.0,1.0,7.0,1.0
0,30,10,8,19,8,26,8,2.0,7.0,0.0,4.0,30,1.0,2,0.75,11,0.75,5.0,0.5,16.0,0.5,18,0.0026774009534526245,25,0.0017486886387064078,22,0.001111053441343919,26.0,0.001059995619668222,10.0,0.0009847109860626395,30,3,0.0,0.0,2.0,0.0,5.0,0.0,9.0,0.0
1,30,10,8,19,8,26,8,2.0,7.0,0.0,4.0,30,1.0,2,0.75,11,0.75,5.0,0.5,16.0,0.5,18,0.0026774009534526245,25,0.0017486886387064078,22,0.001111053441343919,26.0,0.001059995619668222,10.0,0.0009847109860626395,30,3,0.0,0.0,2.0,0.0,5.0,0.0,9.0,0.0
2,30,10,8,19,8,26,8,2.0,7.0,0.0,4.0,30,1.0,2,0.75,11,0.75,5.0,0.5,16.0,0.5,18,0.0026774009534526245,25,0.0017486886387064078,22,0.001111053441343919,26.0,0.001059995619668222,10.0,0.0009847109860626395,30,3,0.0,0.0,2.0,0.0,5.0,0.0,9.0,0.0
0,0,14,129,19,12,9,9,0.0,8.0,10.0,5.0,0,1.0,9,0.5,10,0.5,11.0,0.5,14.0,0.5,14,0.009844855541251824,9,0.006092825833764949,0,0.0027665029140519146,19.0,0.0018404822079091893,10.0,0.001053763469973524,0,1,,,,,,,,
1,0,14,129,19,12,9,9,0.0,8.0,10.0,5.0,0,1.0,9,0.5,10,0.5,11.0,0.5,14.0,0.5,14,0.009844855541251824,9,0.006092825833764949,0,0.0027665029140519146,19.0,0.0018404822079091893,10.0,0.001053763469973524,0,1,,,,,,,,
2,0,14,129,19,12,9,9,0.0,8.0,10.0,5.0,0,1.0,9,0.5,10,0.5,11.0,0.5,14.0,0.5,14,0.009844855541251824,9,0.006092825833764949,0,0.0027665029140519146,19.0,0.0018404822079091893,10.0,0.001053763469973524,0,1,,,,,,,,
0,1,17,6,1,1,4,1,5.0,1.0,12.0,1.0,1,1.0,12,1.0,13,1.0,4.0,0.5,5.0,0.5,17,0.014024200890285724,4,0.004755253495472551,13,0.0025156161908569106,1.0,0.0008853662178210685,24.0,0.0006353843748791751,1,1,13.0,1.0,12.0,0.0,,,,
1,1,17,6,1,1,4,1,5.0,1.0,12.0,1.0,1,1.0,12,1.0,13,1.0,4.0,0.5,5.0,0.5,17,0.014024200890285724,4,0.004755253495472551,13,0.0025156161908569106,1.0,0.0008853662178210685,24.0,0.0006353843748791751,1,1,13.0,1.0,12.0,0.0,,,,
2,1,17,6,1,1,4,1,5.0,1.0,12.0,1.0,1,1.0,12,1.0,13,1.0,4.0,0.5,5.0,0.5,17,0.014024200890285724,4,0.004755253495472551,13,0.0025156161908569106,1.0,0.0008853662178210685,24.0,0.0006353843748791751,1,1,13.0,1.0,12.0,0.0,,,,
3,1,17,6,1,1,4,1,5.0,1.0,12.0,1.0,1,1.0,12,1.0,13,1.0,4.0,0.5,5.0,0.5,17,0.014024200890285724,4,0.004755253495472551,13,0.0025156161908569106,1.0,0.0008853662178210685,24.0,0.0006353843748791751,1,1,13.0,1.0,12.0,0.0,,,,
0,2,26,411,2,407,19,179,12.0,129.0,0.0,116.0,2,1.0,0,0.5,9,0.5,10.0,0.5,11.0,0.5,26,0.03764327224321706,30,0.028801485666251774,2,0.028523542715727684,18.0,0.025696028052242383,9.0,0.02159138344631725,2,1,,,,,,,,
1,2,26,411,2,407,19,179,12.0,129.0,0.0,116.0,2,1.0,0,0.5,9,0.5,10.0,0.5,11.0,0.5,26,0.03764327224321706,30,0.028801485666251774,2,0.028523542715727684,18.0,0.025696028052242383,9.0,0.02159138344631725,2,1,,,,,,,,
2,2,26,411,2,407,19,179,12.0,129.0,0.0,116.0,2,1.0,0,0.5,9,0.5,10.0,0.5,11.0,0.5,26,0.03764327224321706,30,0.028801485666251774,2,0.028523542715727684,18.0,0.025696028052242383,9.0,0.02159138344631725,2,1,,,,,,,,
3,2,26,411,2,407,19,179,12.0,129.0,0.0,116.0,2,1.0,0,0.5,9,0.5,10.0,0.5,11.0,0.5,26,0.03764327224321706,30,0.028801485666251774,2,0.028523542715727684,18.0,0.025696028052242383,9.0,0.02159138344631725,2,1,,,,,,,,
0,3,14,2418,26,1142,19,1029,21.0,458.0,2.0,446.0,3,1.0,10,1.0,28,1.0,30.0,1.0,0.0,0.5,3,0.008280145599865054,28,0.002159657828053504,30,0.0021106253489852097,10.0,0.00028993421649655066,15.0,-6.601463130056997e-06,3,1,30.0,1.0,10.0,0.0,28.0,0.0,,
1,3,14,2418,26,1142,19,1029,21.0,458.0,2.0,446.0,3,1.0,10,1.0,28,1.0,30.0,1.0,0.0,0.5,3,0.008280145599865054,28,0.002159657828053504,30,0.0021106253489852097,10.0,0.00028993421649655066,15.0,-6.601463130056997e-06,3,1,30.0,1.0,10.0,0.0,28.0,0.0,,
2,3,14,2418,26,1142,19,1029,21.0,458.0,2.0,446.0,3,1.0,10,1.0,28,1.0,30.0,1.0,0.0,0.5,3,0.008280145599865054,28,0.002159657828053504,30,0.0021106253489852097,10.0,0.00028993421649655066,15.0,-6.601463130056997e-06,3,1,30.0,1.0,10.0,0.0,28.0,0.0,,
3,3,14,2418,26,1142,19,1029,21.0,458.0,2.0,446.0,3,1.0,10,1.0,28,1.0,30.0,1.0,0.0,0.5,3,0.008280145599865054,28,0.002159657828053504,30,0.0021106253489852097,10.0,0.00028993421649655066,15.0,-6.601463130056997e-06,3,1,30.0,1.0,10.0,0.0,28.0,0.0,,
0,4,7,14,5,3,4,2,12.0,2.0,13.0,2.0,4,1.0,7,1.0,2,0.5,5.0,0.5,8.0,0.5,7,0.01039284158401991,4,0.007845196773361615,8,0.004125903790868532,13.0,0.003329142542201423,28.0,0.0028580706302109363,4,1,7.0,0.0,,,,,,
1,4,7,14,5,3,4,2,12.0,2.0,13.0,2.0,4,1.0,7,1.0,2,0.5,5.0,0.5,8.0,0.5,7,0.01039284158401991,4,0.007845196773361615,8,0.004125903790868532,13.0,0.003329142542201423,28.0,0.0028580706302109363,4,1,7.0,0.0,,,,,,
2,4,7,14,5,3,4,2,12.0,2.0,13.0,2.0,4,1.0,7,1.0,2,0.5,5.0,0.5,8.0,0.5,7,0.01039284158401991,4,0.007845196773361615,8,0.004125903790868532,13.0,0.003329142542201423,28.0,0.0028580706302109363,4,1,7.0,0.0,,,,,,
3,4,7,14,5,3,4,2,12.0,2.0,13.0,2.0,4,1.0,7,1.0,2,0.5,5.0,0.5,8.0,0.5,7,0.01039284158401991,4,0.007845196773361615,8,0.004125903790868532,13.0,0.003329142542201423,28.0,0.0028580706302109363,4,1,7.0,0.0,,,,,,
0,5,14,2418,26,1142,19,1029,21.0,458.0,20.0,284.0,0,1.0,2,1.0,5,1.0,10.0,1.0,16.0,1.0,10,0.0023257193874936634,16,0.0021932653154251736,23,0.0012080725006907438,5.0,0.0009021514742579215,0.0,0.000381614900194936,10,2,5.0,1.0,0.0,0.0,2.0,0.0,16.0,0.0
1,5,14,2418,26,1142,19,1029,21.0,458.0,20.0,284.0,0,1.0,2,1.0,5,1.0,10.0,1.0,16.0,1.0,10,0.0023257193874936634,16,0.0021932653154251736,23,0.0012080725006907438,5.0,0.0009021514742579215,0.0,0.000381614900194936,10,2,5.0,1.0,0.0,0.0,2.0,0.0,16.0,0.0
2,5,14,2418,26,1142,19,1029,21.0,458.0,20.0,284.0,0,1.0,2,1.0,5,1.0,10.0,1.0,16.0,1.0,10,0.0023257193874936634,16,0.0021932653154251736,23,0.0012080725006907438,5.0,0.0009021514742579215,0.0,0.000381614900194936,10,2,5.0,1.0,0.0,0.0,2.0,0.0,16.0,0.0
3,5,14,2418,26,1142,19,1029,21.0,458.0,20.0,284.0,0,1.0,2,1.0,5,1.0,10.0,1.0,16.0,1.0,10,0.0023257193874936634,16,0.0021932653154251736,23,0.0012080725006907438,5.0,0.0009021514742579215,0.0,0.000381614900194936,10,2,5.0,1.0,0.0,0.0,2.0,0.0,16.0,0.0
