,truth,"('num_occur', 'index', 0)","('num_occur', 'score', 0)","('num_occur', 'index', 1)","('num_occur', 'score', 1)","('num_occur', 'index', 2)","('num_occur', 'score', 2)","('num_occur', 'index', 3)","('num_occur', 'score', 3)","('num_occur', 'index', 4)","('num_occur', 'score', 4)","('percentage_of_terms', 'index', 0)","('percentage_of_terms', 'score', 0)","('percentage_of_terms', 'index', 1)","('percentage_of_terms', 'score', 1)","('percentage_of_terms', 'index', 2)","('percentage_of_terms', 'score', 2)","('percentage_of_terms', 'index', 3)","('percentage_of_terms', 'score', 3)","('percentage_of_terms', 'index', 4)","('percentage_of_terms', 'score', 4)","('td-idf', 'index', 0)","('td-idf', 'score', 0)","('td-idf', 'index', 1)","('td-idf', 'score', 1)","('td-idf', 'index', 2)","('td-idf', 'score', 2)","('td-idf', 'index', 3)","('td-idf', 'score', 3)","('td-idf', 'index', 4)","('td-idf', 'score', 4)","('word_order', 'index', 0)","('word_order', 'score', 0)","('word_order', 'index', 1)","('word_order', 'score', 1)","('word_order', 'index', 2)","('word_order', 'score', 2)","('word_order', 'index', 3)","('word_order', 'score', 3)","('word_order', 'index', 4)","('word_order', 'score', 4)"
0,10,10,81,16,43,27,33,18.0,24.0,22.0,22.0,9,1.0,10,1.0,19,1.0,1.0,0.75,2.0,0.75,10,0.00911985871491844,15,0.0025599710870731233,21,0.001866547224761999,9.0,0.0018083238709841317,13.0,0.0016153323095553656,10,22,19.0,6.0,11.0,3.0,14.0,3.0,24.0,3.0
1,10,10,81,16,43,27,33,18.0,24.0,22.0,22.0,9,1.0,10,1.0,19,1.0,1.0,0.75,2.0,0.75,10,0.00911985871491844,15,0.0025599710870731233,21,0.001866547224761999,9.0,0.0018083238709841317,13.0,0.0016153323095553656,10,22,19.0,6.0,11.0,3.0,14.0,3.0,24.0,3.0
2,10,10,81,16,43,27,33,18.0,24.0,22.0,22.0,9,1.0,10,1.0,19,1.0,1.0,0.75,2.0,0.75,10,0.00911985871491844,15,0.0025599710870731233,21,0.001866547224761999,9.0,0.0018083238709841317,13.0,0.0016153323095553656,10,22,19.0,6.0,11.0,3.0,14.0,3.0,24.0,3.0
0,11,14,1331,19,814,2,475,10.0,409.0,21.0,351.0,11,1.0,0,0.25,1,0.25,2.0,0.25,3.0,0.25,11,0.0011266985434787687,26,-5.16793924266632e-06,25,-8.589310977665943e-06,30.0,-1.397956898129717e-05,18.0,-1.4794891156484228e-05,11,23,,,,,,,,
1,11,14,1331,19,814,2,475,10.0,409.0,21.0,351.0,11,1.0,0,0.25,1,0.25,2.0,0.25,3.0,0.25,11,0.0011266985434787687,26,-5.16793924266632e-06,25,-8.589310977665943e-06,30.0,-1.397956898129717e-05,18.0,-1.4794891156484228e-05,11,23,,,,,,,,
2,11,14,1331,19,814,2,475,10.0,409.0,21.0,351.0,11,1.0,0,0.25,1,0.25,2.0,0.25,3.0,0.25,11,0.0011266985434787687,26,-5.16793924266632e-06,25,-8.589310977665943e-06,30.0,-1.397956898129717e-05,18.0,-1.4794891156484228e-05,11,23,,,,,,,,
0,12,26,411,2,407,5,248,19.0,179.0,7.0,151.0,12,1.0,14,1.0,2,0.75,10.0,0.75,20.0,0.75,26,0.03764327224321706,30,0.028801485666251774,2,0.028523542715727684,18.0,0.025696028052242383,9.0,0.02159138344631725,2,258,12.0,102.0,9.0,52.0,30.0,51.0,19.0,49.0
1,12,26,411,2,407,5,248,19.0,179.0,7.0,151.0,12,1.0,14,1.0,2,0.75,10.0,0.75,20.0,0.75,26,0.03764327224321706,30,0.028801485666251774,2,0.028523542715727684,18.0,0.025696028052242383,9.0,0.02159138344631725,2,258,12.0,102.0,9.0,52.0,30.0,51.0,19.0,49.0
2,12,26,411,2,407,5,248,19.0,179.0,7.0,151.0,12,1.0,14,1.0,2,0.75,10.0,0.75,20.0,0.75,26,0.03764327224321706,30,0.028801485666251774,2,0.028523542715727684,18.0,0.025696028052242383,9.0,0.02159138344631725,2,258,12.0,102.0,9.0,52.0,30.0,51.0,19.0,49.0
0,13,26,1142,0,385,5,304,24.0,161.0,30.0,122.0,13,1.0,1,0.75,2,0.75,7.0,0.75,9.0,0.75,13,0.001953790514480272,1,0.0017190819137147847,2,0.0011128666662347931,28.0,0.0008386650941248474,12.0,0.0007926305829702899,2,4,13.0,3.0,1.0,2.0,12.0,2.0,20.0,1.0
1,13,26,1142,0,385,5,304,24.0,161.0,30.0,122.0,13,1.0,1,0.75,2,0.75,7.0,0.75,9.0,0.75,13,0.001953790514480272,1,0.0017190819137147847,2,0.0011128666662347931,28.0,0.0008386650941248474,12.0,0.0007926305829702899,2,4,13.0,3.0,1.0,2.0,12.0,2.0,20.0,1.0
2,13,26,1142,0,385,5,304,24.0,161.0,30.0,122.0,13,1.0,1,0.75,2,0.75,7.0,0.75,9.0,0.75,13,0.001953790514480272,1,0.0017190819137147847,2,0.0011128666662347931,28.0,0.0008386650941248474,12.0,0.0007926305829702899,2,4,13.0,3.0,1.0,2.0,12.0,2.0,20.0,1.0
